"","source","Timestamp","Age","Gender","Country","state","self_employed","family_history","treatment","work_interfere","no_employees","remote_work","tech_company","benefits","care_options","wellness_program","seek_help","anonymity","leave","mental_health_consequence","phys_health_consequence","coworkers","supervisor","mental_health_interview","phys_health_interview","mental_vs_physical","obs_consequence","comments"
"1","1",2015-01-03 03:38:30,44,"Male","United States","OH","No","Yes","Yes","Sometimes","100-500","No","Yes","Yes","Yes","No","Yes","Yes","Don't know","Maybe","No","Some of them","Some of them","No","No","Don't know","No","My mental health issues were the direct result of the trauma from childhood abuse. Most (all?) of the Prompt-sponsored/related presentations I've seen have been about congenital mental health issues that are treatable with continued medication. For me medication only provided temporary assistance. I needed years of (continuing) therapy to deal with PTSD and related disorders (depression anxiety suicidal tendencies others). I haven't seen many in our community discussing trauma-related mental health issues but they are just as real and just as debilitating."
"2","1",2015-02-21 04:16:05,34,"Male","Canada","NA","No","Yes","No","Sometimes","More than 1000","No","Yes","Yes","Not sure","Yes","Yes","Yes","Don't know","Maybe","No","2","No","No","Maybe","Don't know","No","NA"
"3","1",2015-02-21 04:18:48,38,"Male","Italy","NA","No","No","No","Never","26-100","No","Yes","Don't know","Not sure","Don't know",NA,"Yes","Don't know","No","No","Some of them","Yes","Yes","Maybe","No","No","NA"
"4","1",2015-02-21 04:19:28,27,"Male","Germany","NA","No","No","No","NA","26-100","No","Yes","Don't know","Not sure","No","No","Don't know","Don't know","No","No","Some of them","Yes","Yes","Yes","Don't know","No","NA"
"5","1",2015-02-21 04:23:05,34,"Female","Ireland","NA","No","No","Yes","Sometimes","500-1000","No","No","Yes","Yes","Yes","No","Yes","Don't know","Yes","Yes","Some of them","Some of them","No","No","Yes","No","NA"
"6","1",2015-02-21 04:32:45,35,"Female","Ireland","NA","No","NA","No","Rarely","44201","No","Yes","Don't know","No","No","No","No","Don't know","Maybe","No","Some of them","No","No","Maybe","No","No","NA"
"7","1",2015-02-21 04:34:56,34,"Male","Ireland","NA","No","No","Yes","Often","44372","No","Yes","No","No","No","No","Don't know","Somewhat difficult","Yes","Maybe","Some of them","Yes","No","Maybe","No","No","NA"
"8","1",2015-02-21 04:41:28,32,"Male","US","TX","No","No","Yes","Often","26-100","Yes","Yes","Yes","Not sure","No",NA,"Don't know","Very difficult","Yes","Maybe","Some of them","No","No","No","Don't know","No","NA"
"9","1",2015-02-21 04:51:53,25,"Male","Ireland","NA","No","No","No","NA","100-500","No","Yes","Don't know","Not sure","No",NA,"Don't know","Don't know","Maybe","No","Some of them","Yes","No","No","Don't know","No","NA"
"10","1",2015-02-21 04:55:11,28,"Male","Australia","NA","No","No","-","Often","100-500","Yes","Yes","No","Yes","No","No","not sure","Don't know","Yes","No","No","No","No","Maybe","No","No","NA"
